Number,Theme,Subtheme,Year,SetName,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EAN,UPC,Notes,QtyOwned,NewValue(USD),UsedValue(USD)
6208-1,Star Wars,Episode VI,2006,B-wing Fighter,2,435,24.99,34.99,,5.70201E+12,6.73419E+11,,1,80.1,41.27
7680-1,Star Wars,The Clone Wars,2008,The Twilight,4,882,68.49,99.99,,,6.73419E+11,,1,122.95,86.66
7965-1,Star Wars,Episode IV,2011,Millennium Falcon,6,1254,132.99,139.99,179.99,5.70201E+12,6.73419E+11,,1,189.02,116.63
8089-1,Star Wars,Episode V,2010,Hoth Wampa Cave,3,297,35.99,39.99,54.99,5.70201E+12,6.73419E+11,,1,60.59,44.69
9499-1,Star Wars,Episode I,2012,Gungan Sub,4,465,54.99,69.99,89.99,5.70201E+12,6.73419E+11,,1,115.03,82.41
9674-1,Star Wars,Planet Set,2012,Naboo Starfighter & Naboo,1,56,9.99,9.99,12.99,5.70201E+12,6.73419E+11,,1,9.55,7.97
9675-1,Star Wars,Planet Set,2012,Sebulba's Podracer & Tatooine,1,80,9.99,9.99,12.99,5.70201E+12,6.73419E+11,,1,11.46,7.56
9676-1,Star Wars,Planet Set,2012,TIE Interceptor & Death Star,1,65,9.99,9.99,12.99,5.70201E+12,6.73419E+11,,1,23.14,14.71
9677-1,Star Wars,Planet Set,2012,X-wing Starfighter & Yavin 4,1,77,9.99,9.99,12.99,5.70201E+12,6.73419E+11,,1,14.96,10.43
9678-1,Star Wars,Planet Set,2012,Twin-Pod Cloud Car & Bespin,1,78,9.99,9.99,12.99,5.70201E+12,6.73419E+11,,1,7.78,7.8
9679-1,Star Wars,Planet Set,2012,AT-ST & Endor,1,65,9.99,9.99,12.99,5.70201E+12,6.73419E+11,,1,12.37,8.9
10188-1,Star Wars,Ultimate Collector Series,2008,Death Star,24,3803,274.99,399.99,499.99,,6.73419E+11,,1,397.63,345.99
10240-1,Star Wars,Ultimate Collector Series,2013,Red Five X-wing Starfighter,1,1559,169.99,199.99,249.99,5.70201E+12,,,1,281.31,212.71
10700-1,Classic,,2015,32x32 Green Baseplate,,1,6.99,7.99,9.99,5.70202E+12,6.73419E+11,,3,6.42,6.56
10701-1,Classic,,2015,48x48 Grey Baseplate,,1,12.99,14.99,17.99,5.70202E+12,6.73419E+11,,2,12.5,8
10848-1,Duplo,,2017,My First Building Blocks,,80,17.99,,,,,,1,19.01,
11905-1,Star Wars,The Clone Wars,2013,Brickmaster Star Wars: Battle for the Stolen Crystals parts,2,189,,,,,,,1,10.02,
21031-1,Architecture,Landmark Series,2016,Burj Khalifa,,333,44.99,39.99,49.99,,,,1,41.39,33.98
30055-1,Star Wars,Mini Building Set,2011,Vulture Droid,,45,,,,,,,1,4.95,3.19
30056-1,Star Wars,Mini Building Set,2012,Star Destroyer,,38,,,,,6.73419E+11,,1,5.29,3.43
30205-1,Friends,Pop Star,2015,Pop Star Red Carpet,1,33,,4.99,,,,,1,3.23,3.08
30240-1,Star Wars,The Clone Wars,2013,Z-95 Headhunter,,54,,4.99,,5.70201E+12,6.73419E+11,,1,4.94,3.17
30241-1,Star Wars,The Clone Wars,2013,Mandalorian Fighter,,49,,4.99,,5.70201E+12,6.73419E+11,,1,6.79,4.13
30242-1,Star Wars,The Clone Wars,2013,Republic Frigate,,45,,4.99,6.99,,6.73419E+11,,1,7.49,4.5
30243-1,Star Wars,The Clone Wars,2013,Umbaran MHC,,48,,,,,6.73419E+11,,1,5.25,4
30244-1,Star Wars,Episode III,2014,Anakin's Jedi Interceptor,,45,,4.49,,5.70202E+12,,,1,6.56,4.27
30246-1,Star Wars,Episode VI,2014,Imperial Shuttle,,57,,3.99,,5.70202E+12,,,1,7.04,4
30247-1,Star Wars,Episode III,2014,ARC-170 Starfighter,,54,,3.99,,5.70202E+12,,,1,5.49,3.99
30259-1,Elves,,2015,Azari's Magic Fire,1,27,,,,,,,1,4.39,2
30272-1,Star Wars,Episode VI,2015,A-Wing Starfighter,,58,,,,,,,1,5.13,3.33
30274-1,Star Wars,Rebels,2015,AT-DP,,65,,,,,,,1,5.15,2.53
